year,day,task,problem_id,problem_title,image
toi1,0,0,toi1_brick,ก้อนอิฐ,
toi1,0,0,toi1_chain,โซ่คำ (Word Chain),
toi1,0,0,toi1_nugget,เลขนักเก็ต (Nugget Number),
toi1,0,0,toi1_pattern,ลายผ้าไหม,
toi1,0,0,toi1_plate,ถาดอาหาร,
toi1,0,0,toi1_roman,เลขโรมัน (Roman),
toi2,0,0,toi2_bee,ผึ้งสายพันธุ์พิเศษ (Bee),
toi2,0,0,toi2_dice,ลูกเต๋า (dice),
toi2,0,0,toi2_maxseq,ลำดับย่อยของตัวเลขที่มีตำแหน่งต่อเนื่องกันที่มีค่าสูงสุด (maxseq),
toi2,0,0,toi2_segment,ระบบแสดงผลตัวเลขแบบเจ็ดส่วน (segment),
toi2,0,0,toi2_skyline,เส้นขอบฟ้า (skyline),
toi2,0,0,toi2_word,ปริศนาค้นหาคำ (word),
toi3,0,0,toi3_block,บล็อกเกม (Block Game),
toi3,0,0,toi3_cake,ใบสั่งเค้กพิศวง (Silly Bakery),
toi3,0,0,toi3_express,ฟังก์ชันแทนนิพจน์ (Expression),
toi3,0,0,toi3_filter,ผ้าม่าน (Filter),
toi3,0,0,toi3_tile,กระเบื้อง (Tiling),
toi3,0,0,toi3_tiling,กระเบื้อง (Tiling),
toi3,0,0,toi3_treasure,ขุมทรัพย์ผจญภัย (Treasure),
toi4,0,0,toi4_key,กุญแจคุโรมาตี้ (Cromartie Key),
toi4,0,0,toi4_logistics,ขนส่งสินค้า (Logistics),
toi4,0,0,toi4_mountain,เทือกเขาคุโรมาตี้ (Cromartie Mountain),
toi4,0,0,toi4_school,อาคารเรียนคุโรมาตี้ (Cromartie School),
toi4,0,0,toi4_sms,จอมกดส่งข้อความ (SMS Thumb),
toi4,0,0,toi4_temp,ไต่อุณหภูมิ (Temperature is Rising),
toi5,0,0,toi5_jump,กระโดดข้ามเส้น (Jump),
toi5,0,0,toi5_land,ราคาที่ดินสุดหรรษา (Happy Land),
toi5,0,0,toi5_lkd,ถอดรหัสแห่งความรัก (Love Key Decoder),
toi5,0,0,toi5_nsw,วงล้อแปลงตัวเลข (Number Substitution Wheels),
toi5,0,0,toi5_roi,จุดคุ้มทุน (Return On Investment),
toi5,0,0,toi5_tug,จับคู่ชักเย่อ (Tug-of-war),
toi6,0,0,toi6_domino,ดอมมิโนฉงน (dominoes),
toi6,0,0,toi6_gem,ปะวะหล่ำ (Gem),
toi6,0,0,toi6_hotel,โรงแรมในฝัน (Hotel),
toi6,0,0,toi6_jail,คุกหฤโหด (Jail),
toi6,0,0,toi6_schedule,การต่อโทรศัพท์ (Schedules),
toi6,0,0,toi6_tree,คู่ต้นไม้ (Trees),
toi7,0,0,toi7_bomb,ระเบิดมหาประลัย (bomb),
toi7,0,0,toi7_car,ขับรถหลบสิ่งกีดขวาง (Car),
toi7,0,0,toi7_food,อาหารโอชา (Food),
toi7,0,0,toi7_pair,คู่ตัวเลขเด่น (Pair),
toi7,0,0,toi7_sewer,ท่อระบายน้ำ (Sewer),
toi7,0,0,toi7_space,สถานีอวกาศ (Space),
toi8,0,0,toi8_electricity,ส่งกระแสไฟฟ้า (electricity),
toi8,0,0,toi8_fighter,นักสู้ตัวเลข (fighter),
toi8,0,0,toi8_location,หาทำเลตั้งศูนย์บริการลูกค้า (location),
toi8,0,0,toi8_maze,ฝ่าเขาวงกต (maze),
toi8,0,0,toi8_schedule,จัดลำดับการทดลอง,
toi8,0,0,toi8_sport,ผลการแข่งกีฬา (sport),
toi9,0,0,toi9_beehive,รวงผึ้ง (Beehive),
toi9,0,0,toi9_disaster,เส้นทางเตือนภัยพิบัติ (Disaster),
toi9,0,0,toi9_fence,รั้วระแนงปลูกดอกไม้ (Fence),
toi9,0,0,toi9_pipe,แผนผังท่อประปา (Pipe),
toi9,0,0,toi9_spaceship,ระบบนำทางยานอวกาศ (Spaceship),
toi9,0,0,toi9_wizards,นักเวทย์แห่งต๋อย (Wizards of TOI),
toi10,0,0,toi10_catcode,รหัสวิฬาร์ (CAT Codes),
toi10,0,0,toi10_chest,ถอดรหัสหีบสมบัติ (Treasure Chest),
toi10,0,0,toi10_crazyadmin,แอดมินเจ้าระเบียบ (Crazy Admin),
toi10,0,0,toi10_fortress,ป้อม 8 ทิศ (Fortress),
toi10,0,0,toi10_goschool,ไปโรงเรียน (Go to School),
toi10,0,0,toi10_map,แผนที่ลายแทง (Map),
toi10,0,0,toi10_monkey,ลิงไต่ราว (Climbing Monkey),
toi10,0,0,toi10_pair,เกมประกบคู่ (Pairs of Four),
toi10,0,0,toi10_prime,จำนวนเฉพาะ (Prime),
toi10,0,0,toi10_raider,นักล่าสมบัติ (TOI Raider),
toi11,0,0,toi11_candle,จุดเทียนภาวนา (Candle Lighting Prayer),
toi11,0,0,toi11_cannon,ปืนใหญ่แห่งป้อมปราการ (Cannons at the Fort),
toi11,0,0,toi11_labor,กุลีแห่งท่าเรือ (Labor at the Deck),
toi11,0,0,toi11_observatory,หอดูดาว (Observatory),
toi11,0,0,toi11_place,สถานที่ศักดิ์สิทธิ์ (Sacred Places),
toi11,0,0,toi11_segitiga,การดำเนินการซือกีตีกา (Segi Tiga Operation),
toi12,0,0,toi12_barrier,เขื่อนกันคลื่น,
toi12,0,0,toi12_cablecar,กระเช้าไฟฟ้า,
toi12,0,0,toi12_key,กุญแจลับสมบัติเก้าเส้ง,
toi12,0,0,toi12_peak,ป้อมภูผา,
toi12,0,0,toi12_pipe,ท่อน้ำ,
